name,address,detail_url,currency,display_price,tax_note,score_word,score_numeric,review_count,stars,distance_blurb,breakfast_included,free_cancellation,pay_at_property,sustainability_badge,raw_tags,raw_price_text
Hotel 4C Puerta Europa,"Tetuan, Madrid",https://www.booking.com/hotel/es/4c-puerta-europa.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1219507_200083306_0_0_0&highlighted_blocks=1219507_200083306_0_0_0&matching_block_id=1219507_200083306_0_0_0&sr_pri_blocks=1219507_200083306_0_0_0__116364&from=searchresults,$,194.0,,,8.0,2529,,3.4 miles from downtown,False,False,False,False,,$194
Hostal Esparteros,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-esparteros.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=216398302_410904051_2_0_0&highlighted_blocks=216398302_410904051_2_0_0&matching_block_id=216398302_410904051_2_0_0&sr_pri_blocks=216398302_410904051_2_0_0__114259&from=searchresults,$,190.0,,,8.3,3230,,0.1 miles from downtown,False,False,False,False,,$190
Erase un Hotel,"Tetuan, Madrid",https://www.booking.com/hotel/es/eraseunhotel.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=9066626_199326167_2_2_0&highlighted_blocks=9066626_199326167_2_2_0&matching_block_id=9066626_199326167_2_2_0&sr_pri_blocks=9066626_199326167_2_2_0__108636&from=searchresults,$,181.0,,,8.5,6308,,3.2 miles from downtown,False,False,False,False,,$181
Live It Madrid Chamberi,"Chamberi, Madrid",https://www.booking.com/hotel/es/live-it-chamberi.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1012068305_373854517_0_0_0&highlighted_blocks=1012068305_373854517_0_0_0&matching_block_id=1012068305_373854517_0_0_0&sr_pri_blocks=1012068305_373854517_0_0_0__42365&from=searchresults,$,71.0,,,6.4,583,,1.1 miles from downtown,False,False,False,False,,$71
Ilunion Atrium,"Ciudad Lineal, Madrid",https://www.booking.com/hotel/es/confortel-atrium.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=1732801_95142090_0_2_0_311295&highlighted_blocks=1732801_95142090_0_2_0_311295&matching_block_id=1732801_95142090_0_2_0_311295&sr_pri_blocks=1732801_95142090_0_2_0_311295_100276&from=searchresults,$,167.0,,,8.5,7244,,3.3 miles from downtown,False,False,False,False,,$167
Senator Barajas,"Barajas, Madrid",https://www.booking.com/hotel/es/senator-barajas.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=9171912_88191652_0_2_0_521893&highlighted_blocks=9171912_88191652_0_2_0_521893&matching_block_id=9171912_88191652_0_2_0_521893&sr_pri_blocks=9171912_88191652_0_2_0_521893_77861&from=searchresults,$,130.0,,,7.9,13996,,7 miles from downtown,False,False,False,False,,$130
NH Madrid Ribera del Manzanares,"Arganzuela, Madrid",https://www.booking.com/hotel/es/nh-ribera-de-manzanares.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=27649504_93722242_0_0_0&highlighted_blocks=27649504_93722242_0_0_0&matching_block_id=27649504_93722242_0_0_0&sr_pri_blocks=27649504_93722242_0_0_0__113683&from_sustainable_property_sr=1&from=searchresults,$,189.0,,,8.6,3335,,1.2 miles from downtown,False,False,False,False,,$189
Leonardo Hotel Madrid City Center,"Chamberi, Madrid",https://www.booking.com/hotel/es/leonardohotelmadridcitycenter.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=9067809_93238067_0_2_0&highlighted_blocks=9067809_93238067_0_2_0&matching_block_id=9067809_93238067_0_2_0&sr_pri_blocks=9067809_93238067_0_2_0__119954&from_sustainable_property_sr=1&from=searchresults,$,200.0,,,8.4,4290,,1 miles from downtown,False,False,False,False,,$200
Hostal Cervantes,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostal-cervantes.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=28019709_88206224_2_0_0&highlighted_blocks=28019709_88206224_2_0_0&matching_block_id=28019709_88206224_2_0_0&sr_pri_blocks=28019709_88206224_2_0_0__81818&from=searchresults,$,136.0,,,8.2,1169,,0.4 miles from downtown,False,False,False,False,,$136
Hostal Castilla II Puerta del Sol,"Madrid City Center, Madrid",https://www.booking.com/hotel/es/hostalcastilla2.html?label=gog235jc-10CAEoggI46AdIM1gDaLICiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKi6tnHBsACAdICJGU0ZjBlYjA1LTUyNGItNDcyYy1iYmUzLTBkYmFhMTg3OWI4NNgCAeACAQ&aid=397594&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-11-03&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=price%3DUSD-min-210-1&srpvid=72b48fd4c3d603df&srepoch=1760995269&all_sr_blocks=70402_372252637_0_2_0&highlighted_blocks=70402_372252637_0_2_0&matching_block_id=70402_372252637_0_2_0&sr_pri_blocks=70402_372252637_0_2_0__100718&from=searchresults,$,168.0,,,8.3,2531,,450 feet from downtown,False,False,False,False,,$168
